Başlık;Kira Bedeli;İlan Metni;Mahalle;İlan Tarihi;Yerleştiği Kat;Kat Sayısı;Yaşı;Oda Sayısı;Genişliği;Eşya durumu;Isınma;Aidat
OYAK BUCA KONUTLARINDA KİRALIK 3+1 DAİRE;45.000 TL;"Akıllı ev sistemi, görüntülü diyafon 
Dekoratif çelik kapı 
Merkezi doğalgazlı kalorimetre sistemli 
LAMİNANT parke odalar ve salon 
Toshiba Marka 24.000 BTU Klima 
Alüminyum ve cam balkon korkulukları 
Duman algılama detektörü, 
Yangın alarm sistemi 
Su baskın sensörleri
Özel kabinli çift asansör
Analog yayın, site bilgi kanalı, Digitürk, D-Smart ve şifresiz dijital DVB-C yayınlarını kapsayan SMATV Sistemi.
Kilitli posta kutusu
Ebeveyn Banyosu
Birinci sınıf ıslak zeminler
Ankastre Hazır Mutfak
(TEKA Marka A+ Sınıf Ocak, Fırın, Davlumbaz, Bulaşık Makinası)
Mutfakta kullanım için doğal gaz imkânı
Açık yarı olimpik havuz, çocuk havuzu
Yeşil alan, parklar
Çocuk oyun alanı
Spor, kondisyon/fitness alanları
Kent mobilyaları
Havuz kenarı kafeterya, market
7/24 kameralarla izlenebilen tam güvenlik
Açık otopark
İnternet üzerinden aidat sorgulama, site yönetim sistemine erişim
Çift kat mantolama sistemi
Vaillant marka güneş kollektörleri ile 24 saat sıcak su
Aquashine marka, kum filtresi, su yumuşatıcı ve ultraviyole cihazından oluşan su arıtma sistemi
Şebeke suyu kesintisine karşı tüm sitenin su ihtiyacının karşılanacağı betonarme su deposu
TV-Uydu sistemi
Jeneratör sistemi
Site içi market";Aydoğdu;28-09-2024;8. Kat;12 Katlı;6 Yaşında;3 + 1;/ 127 m2;Eşyalı Değil;;
ÜÇKUYULAR MEYDAN VE FAKÜLTELER YAKINI '2+1' ARAKAT-DGAZLI DAİRE;15.200 TL;"İZMİR / BUCA / ATATÜRK MAHALLESİ ;
2+1 - 65m2
Arakat
Doğalgazlı
Yönetimi Olan, Temiz ve Düzgün Apartmandadır


Dairemiz Konum İtibariyle ;
Kozağaç meydana ve,
Hasanağa Bahçesi'ne çok yakınındadır ,
Buca Batı ve Doğu otobanı yolu üzeri,
Tüm Temel ve Sosyal Olanaklar Yürüme Mesafesindedir.

Firmamız Bu Gayrimenkul'ün Kiralama İşlemlerinde Tek Yetkilidir.
Detaylı Bilgi ve Randevu İçin ;
SERCAN ÇAKIR    |  MERTCAN ÇAKIR
Telefonu Göster    |  Telefonu Göster";Atatürk;14-10-2024;3. Kat;4 Katlı;11 Yaşında;2 + 1;/ 65 m2;Eşyalı Değil;;100 TL
Buca Çamlıkule Mah. Site İçerisinde 3+1 Kiralık Daire;26.500 TL;Cam BalkonluAnkastre SetiOtoparklıSite İçindeMerkezi Konumda Ulaşım Sorunu OlmayanDetaylı Bilgi İçin Arayınız...;Çamlıkule;01-10-2024;5. Kat;6 Katlı;6 Yaşında;3 + 1;/ 130 m2;Eşyalı Değil;;
Tınaztepe'de Eşyalı 2+1 Kiralık Daire;24.000 TL;Detaylı bilgi ve yer gösterimi için arayınız.;Kuruçeşme;13-10-2024;Yüksek Giriş;2 Katlı;4 Yaşında;2 + 1;/ 70 m2;Eşyalı;;
EŞYALI-DOĞALGAZLI 2 ODA 1 SALON-ARAKAT DAİRE;18.000 TL;DAİRE'MİZ KOZAĞAÇ MAHALLESİ 282/1 SOKAK'TA YER ALMAKTADIR.YÜKSEK GİRİŞ -ARAKAT DAİREDİR.RESİMLERDEKİ EŞYALAR MEVCUTTUR.KOZAĞAÇ MERKEZE YÜRÜME MESAFESİNDEDİR.;Kozağaç;08-10-2024;Ara Kat;5 Katlı;5 Yaşında;2 + 1;/ 70 m2;Eşyalı;Doğalgaz;50 TL
Buca Kadın Doğum Hastanesi Yanı Kiralık 2+1 Boş Daire;20.000 TL;"Sitede;
* Asansör
* Merkezi Sistem Isıtma (Pay Ölçer)
* Kapalı Otopark
* Profesyonel Site Yönetimi
* Apartman Görevlisi
  Dairede;
* SIFIR 3’lü Ankastre Takımı (Ocak-Fırın-Davlumbaz)
*SIFIR Elektrikli Termosifon (Sıcak Su için)
* Boyalı
* Açık Mutfak
* Balkon
* 1 Banyo
* Diyafon
  Detaylı Bilgi İçin :
H.Yaşar Kartal
Turyap Ataşehir Fil Gayrimenkul Profesyoneli
Telefonu Göster


Bu ilan Emlak Asistanım CRM Programı tarafından otomatik entegre edilmiştir.";Atatürk;14-10-2024;2. Kat;4 Katlı;13 Yaşında;2 + 1;/ 70 m2;Eşyalı Değil;Doğalgaz;300 TL
Buca'nın Merkezinde Eşyalı 2+1 Doğalgazlı Kiralık Daire;18.000 TL;"COLDWELL BANKER JASSE
GÜVENCESİ İLE



✅ Dairemiz 2+1 açık mutfak eşyalı olarak kiralıktır.
✅ Dairemiz giriş katı ve güneş almaktadır.
✅ Doğalgazı mevcuttur.
✅ Apartmanda güvenlik kamerası mevcuttur.
✅ Dairelerimiz balkonludur.
✅ Otopark sorunu yoktur.
✅ Dairemiz eşyalıdır. (Beyaz eşyalar, Oturma grubu, Tv, 2 Yatak bulunmaktadır.)
✅Dokuz eylül üniversitesine yürüme mesafesindedir.

✅ Kasaplar meydanına yakındır.
✅ Merkezi konumdadır. (Tüm ulaşım araçlarına yürüme mesafesindedir. Çevresinde okul, hastane ve üniversite bulunmaktadır.)



GAYRİMENKUL
ALIRKEN, SATARKEN VEYA KİRALARKEN BİZİ ARAYIN
ZAMAN SİZE KALSIN
Detaylı
Bilgi ve Randevu İçin Lütfen arayınız.
FİRMAMIZDAN'DAN ALABİLECEĞİNİZ HİZMETLER NELER?
*TAPU TAKİP İŞLEMLERİ *
*BANKA VE KREDİ İŞLEMLERİ *
*KONUT, DÜKKAN, ARSA EKSPER İŞLEMLERİ *
-TÜZÜĞE UYGUN GÜVENLE KİRALAMA
*TÜZÜĞE UYGUN GÜVENLE SATIŞ *
*GAYRİMENKUL NAKİTE ÇEVİRME *
FİRMAMIZ
TİCARET BAKANLIĞI
TARAFINDAN
TAŞINMAZ TİCARETİ YÖNETMELİK HÜKÜMLERİNE GÖRE
3503444
NOLU
YETKİ BELGESİ İLE YETKİLENDİRİLMİŞTİR.
UYARI:
TARAFLARIN HAKLARININ KORUNMASI AMACI İLE GAYRİMENKUL
DANIŞMANLARININ SÖZLEŞME KULLANMALARI T.S.11816 STANDARTLARININ
1.1.1 MADDESİ VE 05-06-2018 TARİHLİ 30442 SAYILI RESMİ GAZETE DE
YAYINLANAN. ""TAŞINMAZ TİCARETİ HAKKINDA YÖNETMELİK""
MADDE 16 GEREĞİ ZORUNLU KILINMIŞTIR. BU NEDENLE GAYRİMENKUL ADRES
BİLGİSİ VERİLMESİ, YER GÖSTERİMLERİ , SUNUMLARI, ""YER GÖSTERME FORMU""
İMZALATILARAK, YAPILMAKTADIR.
ANLAYIŞINIZ İÇİN
TEŞEKKÜR EDERİZ.";Yaylacık;26-09-2024;Giriş Katı;5 Katlı;8 Yaşında;2 + 1;/ 60 m2;Eşyalı;Doğalgaz;
Buca Kuruçeşme Mah Üniversite Yakını Doğalgazlı 2+1 Kiralık Daire;15.000 TL;"* 9 EYLÜL ÜNİVERSİTESİ VE ÇEVRE YOLUNA YAKIN MESAFEDE
* 2+1 DOĞAL GAZLI  
* SALONU AMERİKAN AÇIK MUTFAK ŞEKLİNDE
* 90M² KULLANIM ALANI OLAN.
* ÇELİK KAPILI.
* ÖN CEPEDEN KOT ARKA CEPHEDEN BİRİNCİ KAT OLUP
* TÜM ULAŞIM DURAKLARINA YAKIN
* TEMİZ VE GÜVENLİ APARTMANDA
* BÖYLE SATILIK BİR DAİREYE İHTİYACINIZ VARSA
HEMEN BENİ ARAYIN
  Not: Kiracı Olarak Aileye verilecektir.";Kuruçeşme;26-09-2024;1. Kat;5 Katlı;15 Yaşında;2 + 1;/ 80 m2;Eşyalı Değil;Doğalgaz;100 TL
SAYGIN GAYRİMENKUL'DEN BUCA KOZAĞAÇTA 1+1 EŞYALI KİRALIK DAİRE;15.500 TL;"SAYGIN GAYRİMENKUL DEN
BUCA KOZAĞAÇ MAHALLESİNDE
ÜÇ KUYULAR MEYDANINA 3 DAKİKALIK YÜRÜME MESAFESİNDE
NEZİH BİR KONUMDA BULUNAN 1+1 EŞYALI DOĞALGAZLI DAİREMİZ

1+1
Eşyalı
Doğalgazlı

Üniversite alanına tek ulaşım aracı ile 5 dakikada gidilebilir, Otobüs duraklarına ve dolmuşların güzergâhında bulunan, ayrıca semt pazarı, park, sağlık ocağına yürüme mesafesindedir
Merkezi lokasyonda yer alan dairemiz temel ihtiyaçlarınızı kolayca karşılayabileceğiniz işletmelere yürüme mesafesinde olduğu için sizlere hem zaman hemde enerji tasarrufu sağlayacaktır.

KONUM DOĞRU İŞARETLENMİŞTİR.

DETAYLI BİLGİ VE GÖRMEK İÇİN LÜTFEN ARAYINIZ
FURKAN KIRBAŞ
Telefonu Göster";Kozağaç;18-09-2024;Yüksek Giriş;4 Katlı;2 Yaşında;1 + 1;/ 55 m2;Eşyalı;Doğalgaz;100 TL
KAMPÜS KARŞISI// FULL EŞYALI KİRALIK 1+1 55m2 ARAKAT DAİRELER;21.000 TL;"AWM MARKETLERE OTOBÜS DOLMUŞ DURAKLARINA 
9 EYLÜL TINAZTEPE KAMPÜSE ÇOK YAKIN 
YÜRÜME MESAFESİNDE 

FULL EŞYALI 1+1 55m2 ARAKAT 

ELEKTRİK SU ABONELİKLERİ AÇIK 

DETAYLI BİLGİ İÇİN LÜTFEN ARAYINIZ";Kuruçeşme;04-10-2024;3. Kat;5 Katlı;3 Yaşında;1 + 1;/ 50 m2;Eşyalı;;900 TL
bucaPARİSA'DAN KADIN DOĞUM HASTANESİ YANI KLİMALI 3+1;16.000 TL;"BUCA KADIN DOĞUM HASTANESİ YAKINI
YILDIZ PAZARYERİ YAKINI
TINAZTEPE KAMPÜSE YÜRÜME MESAFESİ
ÇEVRE YOLU ÇIKIŞINA YAKIN
TRAFİK SORUNU OLMAYAN
MERKEZİ KONUMDA
BUCA HASANAĞA BAHÇESİNE YÜRÜME MESAFESİ
ÜÇKUYULAR MEYDANA YÜRÜME MESAFESİ
ALIŞVERİŞ MERKEZLERİNE YAKIN
OTOBÜS VE DOLMUŞ GÜZERGAHINDA
AYDINLIK VE FERAH
ODALAR GENİŞ VE DÜZGÜN
ÜÇ KATLI BİNANIN BİRİNCİ KATI
ÜÇ CEPHELİ
ÜÇ BALKONLU
AİLE APARTMANI
KLİMALI";Atatürk;14-10-2024;1. Kat;3 Katlı;21 Yaşında;3 + 1;/ 135 m2;Eşyalı Değil;;20 TL
BUCA HASTANE YAKINI EŞYALI GENİŞ ÇİFT BALKONLU 1+1;19.000 TL;"Dairemizin konumu doğru işaretlenmiştir.
Detaylı bilgi için arayınız";Yıldız;14-10-2024;3. Kat;5 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı;;
BUCA İZBAN YAKINI 2+1 bahçeli yüksek giriş kiralık daire;19.000 TL;"Buca şirinyer İzbana yakın 3 yaşındaki yeni binamızda bahçeli doğalgazlı asansörlü yüksek giriş daire
Ulaşım ve alış veriş için yürüme mesafesinde çift cepheli daire";İnkılap;13-10-2024;Yüksek Giriş;4 Katlı;3 Yaşında;2 + 1;/ 60 m2;;Doğalgaz;
Buca Çevik 1'de Eşyalı 1+0 Kiralık Daire;15.000 TL;"Buca Çevik 1 ve Seyfi Demirsoy Hastanesi Yakını Dairemiz Full Eşyalıdır.

Marketlere, Dokuz Eylül Eğitim Fakültesine, toplu taşıma araçlarına yürüme mesafesindedir.

Daha detaylı bilgi ve randevu için lütfen iletişime geçiniz.

KW Alesta Gayrimenkul Danışmanı
Tuğçe Öztürk
Telefonu Göster";Kozağaç;17-09-2024;Yüksek Giriş;4 Katlı;10 Yaşında;1 + 1;/ 30 m2;Eşyalı;Elektrik;
TURPA AYEL YAPIDA DAN 2+1;15.000 TL;"2+1


Doğalgazlı 

Eşyalı 


Otobüs dolmuş güzergahı";Çamlıkule;14-10-2024;Yüksek Giriş;3 Katlı;15 Yaşında;2 + 1;/ 80 m2;Eşyalı;Doğalgaz;100 TL
ADATEPEDE ÜNİVERSİTE YAKINI SIFIR 1+1 DAİRE;13.000 TL;Detaylı bilgi için arayınız;Adatepe;13-10-2024;Yüksek Giriş;2 Katlı;Sıfır Bina;1 + 1;/ 40 m2;Eşyalı Değil;;
Buca Hürriyet Mah./Tünel Çıkışı,Uçanyolda//Site İçi//2.Kat 3+1 D;30.000 TL;"Buca Şirinyer Hürriyet Mahallesi 
Uçanyol Yanı Konak Tünellerinden Çıkışda 
Site İçi Otoparklı Bahçeli Bahçede Kamelya Ve Çocuk Oyunparkı Mevcut 
Açık Otoparklı// Kapıcılı//Çiftasansör
2.Kat Balkonlar'da Katlanır Cam Mevcut.
Mutfakda ankastre seti, Koridorda Kotmanto 
Yatak Odasında Gömme Dolap Mevcut Önü açık
 Karanlık Odası Yok Aydınlık Ferah Daire.
 Binamızın Altında BİM vardır. 
İzbana Yakın 10dk. Ön Tarafda Durak Olup Sahile 1 Durak Hastanelere 10dk Mesafede
 SİTE İÇİ LÜX 130M2 3+1 MEMUR AİLEYE KİRALIK DAİRE. 

İÇİNDE KİRACI OLUP EN YAKIN ZAMANDA BAŞLACAKTIR";Hürriyet;04-10-2024;2. Kat;8 Katlı;15 Yaşında;3 + 1;/ 125 m2;Eşyalı Değil;Doğalgaz;
9 EYLÜL KAMPÜS YAKINI KİRALIK 1+0 daire 11.000tl;13.500 TL;"ÜNİVERSİTEYE ÇOK YAKIN 
FULL EŞYALI 1+0 ve 1+1 DAİRELER 
ELEKTRİK SU 
DOĞALGAZ ABONELİKLERİ AÇIK";Atatürk;20-09-2024;3. Kat;5 Katlı;5 Yaşında;1 + 0;/ 40 m2;Eşyalı;Doğalgaz;400 TL
Buca Yeşilbağlar Mahallesi'nde Aile Apartmanı Arakat 3+1 Kiralık Daire;20.000 TL;Detaylar İçin Gayrimenkul Danışmanı Filiz Ertürk Telefonu Göster;Yeşilbağlar;12-10-2024;Ara Kat;3 Katlı;16 Yaşında;3 + 1;/ 119 m2;Eşyalı Değil;Doğalgaz;
Burak Kul'dan Buca Adatepe de 1+1 Full Eşyalı Kiralık Daire;13.000 TL;"İgneden iplige , Camasir Makinesinden Fön Makinesine Kadar Full Esyalidir.
Kiralayacak Kişinin Sadece Kişisel Esyalarini Getirmesi Yeterlidir.
Tınaztepe ve Dokuz Çeşmeler Kampüse Yuruyus Mesafesinde
Binamızda Sınırsız İnternet Vardir ve Kiraya Dahildir
Dairemiz Son Derece Bakimli ve Masrafsizdir.
Lokasyon olarak Cok Nezih bir Noktadadir
Otopark Sorunu Yoktur.
Detaylı Bilgi ve Randevu İçin  Arayınız...
Not: Sunumlarımız randevulu olarak yapılmaktadır.
Not: Nova Gayrimenkul hizmet verdiği tüm portföylerle tek yetkili olarak çalışmaktadır.
Coldwell Banker NOVA Gayrimenkul
BURAK KUL
Telefonu Göster";Adatepe;13-10-2024;Bahçe Katı;2 Katlı;5 Yaşında;1 + 1;/ 45 m2;Eşyalı;;250 TL
bucaPARİSA'DAN TINAZTEPE HASTANESİ YANI D.GAZ. 2+1 KİRALIK DAİRE;15.000 TL;"ÖZEL TINAZTEPE HASTANESİ YANI
TINAZTEPE  KAMPÜS KARŞISI
TINAZTEPE KAMPÜSÜNE YÜRÜME MESAFESİ
HASANAĞA BAHÇESİNE YÜRÜME MESAFESİ
ALIŞVERİŞ MERKEZLERİNE YAKIN
OTOBÜS VE DOLMUŞ GÜZERGAHINDA
ULAŞIM KOLAYLIĞI
BUCA DOĞU GİRİŞİNE YAKIN
TRAFİK SORUNU YOK
YENİ BİNA
DOĞALGAZLI
AYDINLIK VE FERAH
KARANLIK ODASI YOK
GENİŞ VE DÜZGÜN ODALAR
FİBER İNTERNET
AYRINTILI BİLGİ İÇİN: 
Telefonu Göster";Kuruçeşme;14-10-2024;2. Kat;2 Katlı;3 Yaşında;2 + 1;/ 60 m2;Eşyalı Değil;;100 TL
ATATÜRK MAH. 1+0 STÜDYO FATURALAR KİRAYA DAHİL EŞYALI DAİRE;15.000 TL;"İletişim : Telefonu Göster

- Elektrik
- Su
- Doğalgaz
- İnternet
- Aidat

Kiraya Dahil Fiyattır efendim ekstra hiç bir ödeme yoktur.";Yıldız;14-10-2024;2. Kat;5 Katlı;1 Yaşında;1 + 0;/ 35 m2;Eşyalı;;
ARGA'DAN BUCA ÇEVİK 1 MEYDAN YAKINI EŞYALI D.GAZLI 1+1 KİRALIK DAİRE.;18.000 TL;"DAİREMİZ; BUCA ÇEVİK BİR İLE KOZAĞAÇ MEYDANI ARASINDADIR.
 HASANAĞA BAHÇESİNE, DOKUZ EYLÜL EĞİTİM FAKÜLTESİNE , BUCA ORTA
OKULUNA, 23 NİSAN İLKOKULUNA, LİSELERE YÜRÜME MESAFESİNDEDİR.
KONUMU İTİBARİ İLE ULAŞIM SIKINTISI YOKTUR. OTOBÜS, DOLMUŞ VE SERVİS GÜZERGAHI YAKININDADIR.
MARKET, FIRIN, KASAP, SEMT PAZARI V.B. TÜM ALIŞVERİŞ YERLERİ DAİREMİZİN ÇEVRESİNDEDİR.
1+1 AÇIK MUTFAK 70 M2,
BAHÇELİ,
EŞYALI,
ASANSÖRLÜ,
DOĞALGAZ KOMBİLİDİR.
OLDUKÇA KULANIŞLI BİR DAİREDİR.";Kozağaç;03-10-2024;Bahçe Katı;5 Katlı;Sıfır Bina;1 + 1;/ 50 m2;Eşyalı;Doğalgaz;
buca kozagaç mahhalessi cadde üzeri 2+1 bakımlı kiralık daire;15.000 TL;buca kozagaç mahhallesinde 2+1 bakımlı kiralık daire yerler kiraya vareldiginde laminat parke yapılıp teslim edilecektir;Kozağaç;14-10-2024;1. Kat;4 Katlı;25 Yaşında;2 + 1;/ 90 m2;;;
BAŞOĞLU'NDAN ŞİRİNYER MERKEZDE 3+1 DAİRE;22.500 TL;DETAYLI BİLGİ İÇİN ARAYINIZ!!;Hürriyet;14-10-2024;En Üst Kat;3 Katlı;25 Yaşında;3 + 1;/ 130 m2;;;
YAYLACIK MAH. MEVLANA YAKINI 3+1 ARAKAT KİRALIK DAİRE;22.000 TL;"TURYAP AKINCILAR HİPODROM TEMSİLCİLİĞİNDEN 
KOD 381
YAYLACIK MAHALLESİ MEVKİİNDE
MEVLANA TESİSLERİ YAKINI
TOPLU TAŞIMA DURAKLARINA, MARKET, PAZARYERİ,
ECZANE, OKUL, VS. YÜRÜME MESAFESİNDEDİR.
3+1
BRÜT 130 NET 110 METREKARE
KAPALI MUTFAKLI, DOĞALGAZLI, ÇİFT WCLİ
ARA KAT
ÜÇ CEPHELİ  VE ÇİFT BALKONLU FERAH BİR DAİREDİR.
DAHA DETAYLI BİLGİ VE RANDEVU İÇİN BİZİ ARAYINIZ...
FEVZİ HİTALOĞLU 


Bu ilan Emlak Asistanım CRM Programı tarafından otomatik entegre edilmiştir.";Yaylacık;12-10-2024;3. Kat;4 Katlı;10 Yaşında;3 + 1;/ 110 m2;Eşyalı Değil;Doğalgaz;
YAYLACIK MAHALLESİ 2+1 AÇIK MUTFAK DOĞALGAZ ARAKAT EŞYALI;25.500 TL;"İKTİSAT FAKÜLTESİ, FEN VE EDEBİYAT FAKÜLTESİNE YÜRÜME MESAFESİ
2+1 FULL EŞYALI
DOĞALGAZLI
BALKONLU
MERKEZİ KONUM
OTOBÜS VE MİNİBÜS GÜZERGAHI";Yaylacık;12-10-2024;3. Kat;4 Katlı;5 Yaşında;2 + 1;/ 70 m2;Eşyalı;;
ERA NİVA'DAN ADATEPE'DE KİRALIK 3+1 DAİRE;20.000 TL;"DEU İİBF'YE 600 M
Kasaplar Meydanı'na 700 M
Tınaztepe Kampüsü'ne 3 KM
Ayrı mutfak
Ebeveyn banyolu
Geniş kullanım alanı
Otopark sıkıntısı yoktur";Adatepe;11-10-2024;Zemin;3 Katlı;5 Yaşında;3 + 1;/ 140 m2;Eşyalı Değil;;80 TL
MYWAY RESİDANCE KİRALIK EŞYALI LOFT 1+1 DAİRE;25.000 TL;"MyWay Dokuz Eylül Projesinde Lüks Loft Daire

Dokuz Eylül Üniversitesi’ne sadece 10 dakikalık mesafede yer alan, merkezi bir konumda bulunan bu lüks loft dairemiz, modern yaşamın tüm ihtiyaçlarını karşılayacak şekilde tasarlanmıştır.

Daire Özellikleri:

 • Net Alan: 65m² genişliğinde, ferah ve kullanışlı bir yaşam alanı.
 • Güvenlik: 7/24 güvenlik ve kamera sistemi ile huzurlu ve güvenli bir yaşam.
 • Sosyal İmkanlar: Site içerisinde açık havuz ve tenis alanı ile spor yapma ve dinlenme imkanı.
 • Otopark: Hem açık hem de kapalı otopark seçeneği ile araçlarınız için güvenli park alanı.

Lokasyon:

 • Şehrin merkezinde bulunan projemiz, Üniversite ve hastaneye sadece 10 dakikalık mesafede olup, sosyal hayatın kalbinde yer almaktadır. Market, eczane, lokanta gibi tüm ihtiyaçlarınızı karşılayabileceğiniz yerler ise hemen site önündedir.
 • Tüm toplu taşıma araçlarına kolay erişim imkanı sağlanmakta, ayrıca ESHOT durağı da sitemizin önünde bulunmaktadır.

Özel Teklif:
Yıllık peşin ödemelerde özel indirim fırsatından yararlanabilirsiniz!

Modern yaşamın tüm ayrıcalıklarını yaşamak isteyenler için bu lüks loft dairemiz kaçırılmayacak bir fırsattır!";Buca Koop.;10-10-2024;5. Kat;8 Katlı;4 Yaşında;1 + 1;/ 65 m2;Eşyalı;;
BUCA İNÖNÜ MAH. KİRALIK 2+1 DAİRE;25.000 TL;"BUCA İNÖNÜ MAH.
150 m2 2+1
EBEVEYN BANYO
BAHÇELİ
4 KATLI BİNANI BAHÇE KATI
DOĞALGAZ
KAPALI MUTFAK
DETAYLAR İÇİN LÜTFEN ARAYINIZ
GURBET ÇAMUR Telefonu Göster";İnönü;10-10-2024;Bahçe Katı;4 Katlı;6 Yaşında;2 + 1;/ 120 m2;Eşyalı Değil;;
Merkezi konumda önü açık manzaralı doğalgazlı daire;23.000 TL;Marketlere otobüs duraklarına yürüme mesafesinde.Saglik ocağına yürüme mesafesinde Meskure Şamlı Ortaokulu na yakın doğalgazlı boyası yeni yapılmış eve ait vestiyer mevcut bakımlı daire;Menderes;10-10-2024;4. Kat;4 Katlı;25 Yaşında;3 + 1;/ 125 m2;Eşyalı Değil;Doğalgaz;100 TL
Çamlıpınar'da Sahibinden Kiralık Daire (Doğal gazlı);16.000 TL;"(Emlakçıların aramaması hususunu hatırlatırız, emlakçı ile çalışmayı şu anlık düşünmüyoruz).
Ara katta olan evimiz net 110 m² olup ferahtır.
Aile apartmanıdır.
3+1 olup 3 balkonludur.
Doğal gazlıdır ve günün her vakti güneş görmektedir.
Otobüs duraklarına, İzban Koşu ve İnkılap duraklarına, DEU'nun Eğitim fakültesi, İİBF ve yabancı diller fakültesine, Devlet hastanesine ve Adnan Menderes havalimanına yakın bir konumdadır.
Harita üzerinde belirtilen konum doğrudur.
16.000 TL [1 kira bedeli] depozito alınacak olup sahibinden kiralık olduğu için komisyon ödenmeden kiralanabilecektir.
Tahliye taahhütnamesi imzalanması zorunludur.
Memur kiracı, kefil sunma vb. şartımız yoktur ancak öncelik yeni evli çiftler ve/veya az çocuklu ailelerdir.
Kira bedeli yazılırken aynı muhitteki evler incelenmiş ve 3+1 bu özellikteki evin emsalleri için nispeten uygun bir bedel yazılmıştır.
Bu şartları ve özellikleri bilerek iletişime geçmeniz önerilir.";Çamlıpınar;05-10-2024;Ara Kat;4 Katlı;29 Yaşında;3 + 1;/ 110 m2;Eşyalı Değil;Doğalgaz;1 TL
GARANTİ'DEN ADATEPEDE GÜZEL KONUMDA KİRALIK 1+1 DAİRE;12.500 TL;"GARANTİ GAYRİMENKUL & EMLAK
ADATEPE’DE İKTİSADİ BİLİMLERE YÜRÜME MESAFESİNDE
GENİŞ VE FERAH KULLANIŞLI DAİRE
DOĞALGAZLI BALKONLU
MEMUR VEYA MEMUR KEFİL ŞARTIMIZ VARDIR
DETAYLI BİLGİ İÇİN İLETİŞİME GEÇİNİZ
MERHMET ALİ BAŞPINAR
Telefonu Göster";Adatepe;06-10-2024;Kot 1;4 Katlı;4 Yaşında;1 + 1;/ 45 m2;Eşyalı Değil;;
EŞYALI KİRALIK DOĞALGAZLI 2+1 DAİRE;20.000 TL;"E&G GAYRİMENKUL'DEN
EŞYALI KİRALIK
BUCA GAZİLER MAHALLESİNDE
EŞYALI DOĞALGAZLI AYRI MUTFAKLI 2+1
DOKUZ ÇEŞMELER KAMPÜSE 5 DK YÜRÜME MESAFESİNDEDİR.
TERCİHEN KIZ ÖĞRENCİYE VERİLECEKTİR
DETAYLI BİLGİ İÇİN LÜTFEN ARAYINIZ";Gaziler;09-10-2024;4. Kat;4 Katlı;31 Yaşında;2 + 1;/ 80 m2;Eşyalı;;1 TL
BUCA ÇEVİK 1 MEYDANI YANI CADDE ÜZERİ 3+1 ÖNÜ AÇIK KİRALIK FUNDA;35.000 TL;"BİREYSEL DOĞALGAZLI
LAMİNANT PARKE
ISLAK ZEMİNLER SERAMİK
PVC DOĞRAMA
HİLTON BANYO
DUŞAKABİN
TASARIM AMERİKAN MUTFAK
VESTİYER
ÇELİK KAPI
GÖRÜNTÜLÜ DİAFON
Binanın Çevresinde;
 Belediye
 Postahane
 İlkokul-Ortaokul
 Eczane
 Kırtasiye
 Market
 Fırın
 Manav
 Spor Salonu
Diğer ilanlarımızı da aşağıdaki link’ den inceleyiniz.
FUN GAYRİMENKUL
Yer Gösterme İşlemleri ""Taşınmaz Gösterme Belgesi"" düzenlemek suretiyle yapılmaktadır.
DETAYLI BİLGİ VE RANDEVU İÇİN ARAYINIZ...";Dumlupınar;14-10-2024;4. Kat;4 Katlı;16 Yaşında;3 + 1;/ 135 m2;Eşyalı Değil;;250 TL
Smyrna Team KW’ den Buca Kuruçeşme’de Kiralık 3+1 Arakat Daire;28.000 TL;"Evim, Tınaztepe Hastanesi ya da 9 Eylül Üniversitesi Tınaztepe Kampüsüne (5 dakika) yakın olsun diyorsanız,

Buca Doğu çıkışına yakın olsun, çevreyolunu kullanayım diyorsanız,

Evimin önünden otobüs, dolmuş geçsin,

Marketlere, cafelere, çarşıya, okullara yürüyerek gideyim diyorsanız,

Doğalgazlı olsun, sıcak suyum ve ısınmam sorun olmasın diyorsanız,

Binanın dış yalıtımı da yapılmış olsun,

Açık otoparkım olsun,

Tüm maliklerin ortağı olduğu kapıcı dairesi ve dükkandan da kira getirisi olsun, çok uygun aidat ödeyeyim diyorsanız,

Kendim de oturabilirim, yatırım için de satın alabilirim diyorsanız aradığınız evi buldunuz demektir.

Karanlık odası olmayan, doğalgazlı, aydınlık ve ferah, banyosu yenilenmiş, parkeleri yeni cilalanmış, tadilat istemeyen, Egepen markalı ısıcamlı, kaloriferli, 3 balkonlu, kilerli, kapalı mutfaklı, asansörlü dairenizi görmek isterseniz aramanız yeterlidir.


Murat Kuntker
Keller Williams Alesta
Telefonu Göster";Kuruçeşme;18-09-2024;4. Kat;5 Katlı;27 Yaşında;3 + 1;/ 110 m2;Eşyalı Değil;Doğalgaz;
